Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
oct-19;Pera;Packham's Triumph;Primera;$/kilo;600;1.300;891
oct-19;Pera;Packham's Triumph;Segunda;$/kilo;500;1.000;659
nov-19;Pera;Packham's Triumph;Primera;$/kilo;700;1.500;1.093
nov-19;Pera;Packham's Triumph;Segunda;$/kilo;600;1.000;851
dic-19;Pera;Packham's Triumph;Primera;$/kilo;600;1.800;1.183
dic-19;Pera;Packham's Triumph;Segunda;$/kilo;500;1.500;875
ene-20;Pera;Packham's Triumph;Primera;$/kilo;790;2.000;1.259
ene-20;Pera;Packham's Triumph;Segunda;$/kilo;690;1.100;884
feb-20;Pera;Bartlett de verano;Primera;$/kilo;500;1.000;743
feb-20;Pera;Bartlett de verano;Segunda;$/kilo;450;600;513
mar-20;Pera;Bartlett de verano;Primera;$/kilo;500;1.500;763
mar-20;Pera;Bartlett de verano;Segunda;$/kilo;500;600;550
mar-19;Plátano;Sin especificar;Maduro;$/kilo;450;800;673
mar-19;Plátano;Sin especificar;Primera;$/kilo;550;1.300;853
abr-19;Plátano;Sin especificar;Maduro;$/kilo;350;700;539
abr-19;Plátano;Sin especificar;Primera;$/kilo;400;1.000;710
may-19;Plátano;Sin especificar;Maduro;$/kilo;350;700;506
may-19;Plátano;Sin especificar;Primera;$/kilo;400;900;634
jun-19;Plátano;Sin especificar;Maduro;$/kilo;390;600;494
jun-19;Plátano;Sin especificar;Primera;$/kilo;500;900;648
jul-19;Plátano;Sin especificar;Maduro;$/kilo;300;800;491
jul-19;Plátano;Sin especificar;Primera;$/kilo;400;1.000;649
ago-19;Plátano;Sin especificar;Maduro;$/kilo;400;700;526
ago-19;Plátano;Sin especificar;Primera;$/kilo;500;1.000;696
sept-19;Plátano;Sin especificar;Maduro;$/kilo;450;700;543
sept-19;Plátano;Sin especificar;Primera;$/kilo;500;900;693
oct-19;Plátano;Sin especificar;Maduro;$/kilo;400;900;630
oct-19;Plátano;Sin especificar;Primera;$/kilo;500;1.300;823
nov-19;Plátano;Sin especificar;Maduro;$/kilo;900;1.200;1.015
nov-19;Plátano;Sin especificar;Primera;$/kilo;900;1.500;1.255
dic-19;Plátano;Sin especificar;Maduro;$/kilo;400;800;624
dic-19;Plátano;Sin especificar;Primera;$/kilo;500;1.500;782
ene-20;Plátano;Sin especificar;Maduro;$/kilo;400;900;631
ene-20;Plátano;Sin especificar;Primera;$/kilo;600;1.200;810
feb-20;Plátano;Sin especificar;Maduro;$/kilo;450;800;610
feb-20;Plátano;Sin especificar;Primera;$/kilo;590;1.200;771
mar-20;Plátano;Sin especificar;Maduro;$/kilo;500;1.000;747
mar-20;Plátano;Sin especificar;Primera;$/kilo;700;1.400;946
mar-19;Uva;Red Globe;Primera;$/kilo;500;1.000;789
mar-19;Uva;Red Globe;Segunda;$/kilo;500;800;621
abr-19;Uva;Red Globe;Primera;$/kilo;500;1.000;697
abr-19;Uva;Red Globe;Segunda;$/kilo;500;700;523
may-19;Uva;Red Globe;Primera;$/kilo;500;1.200;745
may-19;Uva;Red Globe;Segunda;$/kilo;500;800;643
jun-19;Uva;Red Globe;Primera;$/kilo;700;1.200;844
jun-19;Uva;Red Globe;Segunda;$/kilo;600;1.000;843
ene-20;Uva;Flame Seedless;Primera;$/kilo;690;2.500;1.007
ene-20;Uva;Flame Seedless;Segunda;$/kilo;690;800;732
feb-20;Uva;Red Globe;Primera;$/kilo;600;1.500;967
feb-20;Uva;Red Globe;Segunda;$/kilo;690;800;751
mar-20;Uva;Red Globe;Primera;$/kilo;600;2.000;1.007
mar-20;Uva;Red Globe;Segunda;$/kilo;490;1.000;690
Fuente: Elaborado por Odepa.;;;;;;;
