Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
dic-19;Coliflor;Sin especificar;Segunda;$/unidad;300;800;564
ene-20;Coliflor;Sin especificar;Primera;$/unidad;600;1.700;939
ene-20;Coliflor;Sin especificar;Segunda;$/unidad;400;1.000;675
feb-20;Coliflor;Sin especificar;Primera;$/unidad;650;2.000;1.213
feb-20;Coliflor;Sin especificar;Segunda;$/unidad;500;1.300;886
mar-20;Coliflor;Sin especificar;Primera;$/unidad;800;2.500;1.410
mar-20;Coliflor;Sin especificar;Segunda;$/unidad;600;2.000;1.069
mar-19;Espinaca;Sin especificar;Primera;$/kilo;1.200;2.800;1.793
mar-19;Espinaca;Sin especificar;Segunda;$/kilo;1.000;1.800;1.332
abr-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.435
abr-19;Espinaca;Sin especificar;Segunda;$/kilo;600;1.400;1.067
may-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.356
may-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.019
jun-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.295
jun-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.032
jul-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.391
jul-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.046
ago-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.394
ago-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.400;1.005
sept-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.329
sept-19;Espinaca;Sin especificar;Segunda;$/kilo;500;1.200;999
oct-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.311
oct-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.011
nov-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.264
nov-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;945
dic-19;Espinaca;Sin especificar;Primera;$/kilo;700;2.000;1.319
dic-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;995
ene-20;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.800;1.745
ene-20;Espinaca;Sin especificar;Segunda;$/kilo;800;1.600;1.221
feb-20;Espinaca;Sin especificar;Primera;$/kilo;1.200;3.200;2.111
feb-20;Espinaca;Sin especificar;Segunda;$/kilo;1.000;2.400;1.834
mar-20;Espinaca;Sin especificar;Primera;$/kilo;1.200;3.200;1.887
mar-20;Espinaca;Sin especificar;Segunda;$/kilo;1.000;2.000;1.567
may-19;Haba;Sin especificar;Primera;$/kilo;350;1.500;586
may-19;Haba;Sin especificar;Segunda;$/kilo;400;500;464
jun-19;Haba;Sin especificar;Primera;$/kilo;400;1.200;535
jun-19;Haba;Sin especificar;Segunda;$/kilo;300;450;387
jul-19;Haba;Sin especificar;Primera;$/kilo;350;1.000;518
jul-19;Haba;Sin especificar;Segunda;$/kilo;300;450;390
ago-19;Haba;Sin especificar;Primera;$/kilo;350;1.000;547
ago-19;Haba;Sin especificar;Segunda;$/kilo;300;500;396
sept-19;Haba;Sin especificar;Primera;$/kilo;300;1.000;486
sept-19;Haba;Sin especificar;Segunda;$/kilo;250;600;377
oct-19;Haba;Sin especificar;Primera;$/kilo;200;900;378
oct-19;Haba;Sin especificar;Segunda;$/kilo;200;400;299
nov-19;Haba;Sin especificar;Primera;$/kilo;300;800;498
nov-19;Haba;Sin especificar;Segunda;$/kilo;250;400;346
dic-19;Haba;Sin especificar;Primera;$/kilo;300;900;606
dic-19;Haba;Sin especificar;Segunda;$/kilo;300;600;412
ene-20;Haba;Sin especificar;Primera;$/kilo;400;1.000;593
mar-19;Lechuga;Escarola;Primera;$/unidad;500;1.000;740
mar-19;Lechuga;Escarola;Segunda;$/unidad;350;700;555
abr-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;633
abr-19;Lechuga;Escarola;Segunda;$/unidad;250;600;465
may-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;579
may-19;Lechuga;Escarola;Segunda;$/unidad;300;600;413
jun-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;579
jun-19;Lechuga;Escarola;Segunda;$/unidad;250;600;408
jul-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;572
jul-19;Lechuga;Escarola;Segunda;$/unidad;250;700;400
ago-19;Lechuga;Escarola;Primera;$/unidad;333;1.000;551
ago-19;Lechuga;Escarola;Segunda;$/unidad;250;550;380
sept-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;545
sept-19;Lechuga;Escarola;Segunda;$/unidad;200;600;372
oct-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;538
oct-19;Lechuga;Escarola;Segunda;$/unidad;200;500;357
nov-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;530
nov-19;Lechuga;Escarola;Segunda;$/unidad;200;500;367
dic-19;Lechuga;Escarola;Primera;$/unidad;333;1.000;570
dic-19;Lechuga;Escarola;Segunda;$/unidad;250;600;419
ene-20;Lechuga;Escarola;Primera;$/unidad;300;1.000;601
ene-20;Lechuga;Escarola;Segunda;$/unidad;250;600;441
feb-20;Lechuga;Escarola;Primera;$/unidad;400;1.000;733
feb-20;Lechuga;Escarola;Segunda;$/unidad;300;800;542
mar-20;Lechuga;Escarola;Primera;$/unidad;500;1.000;764
mar-20;Lechuga;Escarola;Segunda;$/unidad;300;700;573
mar-19;Melón;Tuna;Primera;$/unidad;500;1.200;810
mar-19;Melón;Tuna;Segunda;$/unidad;400;600;514
dic-19;Melón;Tuna;Primera;$/unidad;500;1.500;805
dic-19;Melón;Tuna;Segunda;$/unidad;333;800;569
ene-20;Melón;Tuna;Primera;$/unidad;500;1.700;842
ene-20;Melón;Tuna;Segunda;$/unidad;400;1.000;605
feb-20;Melón;Tuna;Primera;$/unidad;500;1.800;848
feb-20;Melón;Tuna;Segunda;$/unidad;400;800;622
mar-20;Melón;Tuna;Primera;$/unidad;500;1.700;901
mar-20;Melón;Tuna;Segunda;$/unidad;400;900;626
mar-19;Papa;Patagonia;Primera;$/kilo;350;700;469
mar-19;Papa;Patagonia;Segunda;$/kilo;300;450;354
abr-19;Papa;Patagonia;Primera;$/kilo;350;600;450
abr-19;Papa;Patagonia;Segunda;$/kilo;250;400;335
may-19;Papa;Patagonia;Primera;$/kilo;300;600;463
may-19;Papa;Patagonia;Segunda;$/kilo;250;450;350
jun-19;Papa;Patagonia;Primera;$/kilo;333;700;474
jun-19;Papa;Patagonia;Segunda;$/kilo;300;450;358
jul-19;Papa;Patagonia;Primera;$/kilo;350;600;472
jul-19;Papa;Patagonia;Segunda;$/kilo;250;450;356
ago-19;Papa;Patagonia;Primera;$/kilo;350;600;467
ago-19;Papa;Patagonia;Segunda;$/kilo;250;450;355
sept-19;Papa;Patagonia;Primera;$/kilo;350;600;492
sept-19;Papa;Patagonia;Segunda;$/kilo;300;450;365
oct-19;Papa;Patagonia;Primera;$/kilo;400;700;540
oct-19;Papa;Patagonia;Segunda;$/kilo;300;600;409
nov-19;Papa;Patagonia;Primera;$/kilo;400;700;508
nov-19;Papa;Patagonia;Segunda;$/kilo;300;450;364
dic-19;Papa;Patagonia;Primera;$/kilo;333;600;436
dic-19;Papa;Patagonia;Segunda;$/kilo;250;450;347
ene-20;Papa;Patagonia;Primera;$/kilo;250;650;487
ene-20;Papa;Patagonia;Segunda;$/kilo;250;450;359
feb-20;Papa;Patagonia;Primera;$/kilo;300;750;497
feb-20;Papa;Patagonia;Segunda;$/kilo;250;450;369
mar-20;Papa;Patagonia;Primera;$/kilo;350;700;516
mar-20;Papa;Patagonia;Segunda;$/kilo;300;500;389
mar-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;336
mar-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;150;450;232
abr-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;600;275
abr-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;185
may-19;Pepino ensalada;Sin especificar;Primera;$/unidad;180;500;281
may-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;202
