Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
sept-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.329;432;140.150;14015*cuna 10 kilos;4321/cuna 10 kilos
sept-19;Espinaca;Sin especificar;Segunda;$/kilo;500;1.200;999;;;;
oct-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.311;472;166.000;16600*cuna 10 kilos;4716/cuna 10 kilos
oct-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.011;;;;
nov-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.264;454;107.800;10780*cuna 10 kilos;4541/cuna 10 kilos
nov-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;945;;;;
dic-19;Espinaca;Sin especificar;Primera;$/kilo;700;2.000;1.319;503;105600;10560*cuna 10 kilos;5034/cuna 10 kilos
dic-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;995;;;;
ene-20;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.800;1.745;1.087;30.500;3050*cuna 10 kilos;10867/cuna 10 kilos
ene-20;Espinaca;Sin especificar;Segunda;$/kilo;800;1.600;1.221;850;3600;360*cuna 10 kilos;8500/cuna 10 kilos
feb-20;Espinaca;Sin especificar;Primera;$/kilo;1.200;3.200;2.111;1.263;27.800;2780*cuna 10 kilos;12633/cuna 10 kilos
feb-20;Espinaca;Sin especificar;Segunda;$/kilo;1.000;2.400;1.834;;;;
mar-20;Espinaca;Sin especificar;Primera;$/kilo;1.200;3.200;1.887;752;64.400;6440*cuna 10 kilos;7519/cuna 10 kilos
mar-20;Espinaca;Sin especificar;Segunda;$/kilo;1.000;2.000;1.567;669;8.000;800*cuna 10 kilos;6688/cuna 10 kilos
may-19;Haba;Sin especificar;Primera;$/kilo;350;1.500;586;445;7.500;300*saco 25 kilos;11133/saco 25 kilos
may-19;Haba;Sin especificar;Segunda;$/kilo;400;500;464;;;;
jun-19;Haba;Sin especificar;Primera;$/kilo;400;1.200;535;290;58.750;2350*saco 25 kilos;7243/saco 25 kilos
jun-19;Haba;Sin especificar;Segunda;$/kilo;300;450;387;;;;
jul-19;Haba;Sin especificar;Primera;$/kilo;350;1.000;518;;;;
jul-19;Haba;Sin especificar;Segunda;$/kilo;300;450;390;;;;
ago-19;Haba;Sin especificar;Primera;$/kilo;350;1.000;547;;;;
ago-19;Haba;Sin especificar;Segunda;$/kilo;300;500;396;;;;
sept-19;Haba;Sin especificar;Primera;$/kilo;300;1.000;486;240;168750;6750*saco 25 kilos;6008/saco 25 kilos
sept-19;Haba;Sin especificar;Segunda;$/kilo;250;600;377;200;9250;370*saco 25 kilos;5000/saco 25 kilos
oct-19;Haba;Sin especificar;Primera;$/kilo;200;900;378;198;392250;15690*saco 25 kilos;4962/saco 25 kilos
oct-19;Haba;Sin especificar;Segunda;$/kilo;200;400;299;131;49250;1970*saco 25 kilos;3287/saco 25 kilos
nov-19;Haba;Sin especificar;Primera;$/kilo;300;800;498;331;228000;9120*saco 25 kilos;8268/saco 25 kilos
nov-19;Haba;Sin especificar;Segunda;$/kilo;250;400;346;200;2500;100*saco 25 kilos;5000/saco 25 kilos
dic-19;Haba;Sin especificar;Primera;$/kilo;300;900;606;560;14000;560*saco 25 kilos;14000/saco 25 kilos
dic-19;Haba;Sin especificar;Segunda;$/kilo;300;600;412;;;;
ene-20;Haba;Sin especificar;Primera;$/kilo;400;1.000;593;384;6250;250*saco 25 kilos;9600/saco 25 kilos
mar-19;Lechuga;Escarola;Primera;$/unidad;500;1.000;740;439;49500;3300*caja 15 unidades;6583/caja 15 unidades
mar-19;Lechuga;Escarola;Segunda;$/unidad;350;700;555;294;63000;3500*caja 18 unidades;5286/caja 18 unidades
abr-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;633;;;;
abr-19;Lechuga;Escarola;Segunda;$/unidad;250;600;465;;;;
may-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;579;315;23250;1550* caja 15 unidades;4732/caja 15 unidades
may-19;Lechuga;Escarola;Segunda;$/unidad;300;600;413;173;11880;660*caja 18 unidads;3121/caja 18 unidades
jun-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;579;284;48750;3250*caja 15 unidades;4262/caja 15 unidades
jun-19;Lechuga;Escarola;Segunda;$/unidad;250;600;408;156;56160;3120*caja 18 unidades;2801/caja 18 unidades
jul-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;572;242;277500;18500*caja 15 unidades;3624/caja 15 unidades
jul-19;Lechuga;Escarola;Segunda;$/unidad;250;700;400;147;220680;12260*caja 18 unidades;2637/caja 18 unidades
ago-19;Lechuga;Escarola;Primera;$/unidad;333;1.000;551;214;9750;650*caja 15 unidades;3215/caja 15 unidades
ago-19;Lechuga;Escarola;Segunda;$/unidad;250;550;380;;;;
sept-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;545;250;11400;790*caja 15 unidades;3750/caja 15 unidades
sept-19;Lechuga;Escarola;Segunda;$/unidad;200;600;372;153;9000;500*caja 18 unidades;2750/caja 18 unidades
oct-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;538;213;93150;6210*caja 15 unidades;3193/caja 15 unidades
oct-19;Lechuga;Escarola;Segunda;$/unidad;200;500;357;122;70920;3940*caja 18 unidades;2190/caja 18 unidades
nov-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;530;183;155250;10350*caja 15 unidades;2750/caja 15 unidades
nov-19;Lechuga;Escarola;Segunda;$/unidad;200;500;367;99;125640;6980*caja 18 unidades;1784/caja 18 unidades
dic-19;Lechuga;Escarola;Primera;$/unidad;333;1.000;570;232;81000;5400*caja 15 unidades;3487/caja 15 unidades
dic-19;Lechuga;Escarola;Segunda;$/unidad;250;600;419;141;64800;3600*caja 18 unidades;2542/caja 18 unidades
ene-20;Lechuga;Escarola;Primera;$/unidad;300;1.000;601;253;158400;10560*caja 15 unidades;3799/caja 15 unidades
ene-20;Lechuga;Escarola;Segunda;$/unidad;250;600;441;143;165060;9170*caja 18 unidades;2579/caja 18 unidades
feb-20;Lechuga;Escarola;Primera;$/unidad;400;1.000;733;340;116700;7780*caja 15 unidades;5104/caja 15 unidades
feb-20;Lechuga;Escarola;Segunda;$/unidad;300;800;542;202;103860;5770*caja 18 unidades;3633/caja 18 unidades
mar-20;Lechuga;Escarola;Primera;$/unidad;500;1.000;764;426;200850;13390*caja 15 unidades;6396/caja 15 unidades
mar-20;Lechuga;Escarola;Segunda;$/unidad;300;700;573;273;169200;9400*caja 18 unidades;4914/caja 18 unidades
mar-19;Melón;Tuna;Primera;$/unidad;500;1.200;810;503;37.000;;
mar-19;Melón;Tuna;Segunda;$/unidad;400;600;514;363;31.900;;
dic-19;Melón;Tuna;Primera;$/unidad;500;1.500;805;571;11.400;;
dic-19;Melón;Tuna;Segunda;$/unidad;333;800;569;470;8.600;;
ene-20;Melón;Tuna;Primera;$/unidad;500;1.700;842;;;;
ene-20;Melón;Tuna;Segunda;$/unidad;400;1.000;605;;;;
feb-20;Melón;Tuna;Primera;$/unidad;500;1.800;848;521;16.030;;
feb-20;Melón;Tuna;Segunda;$/unidad;400;800;622;383;7.520;;
