Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
abr-19;Pera;Packham's Triumph;Primera;$/kilo;490;1.200;691;289;6.300;14*bins (450 kilos);130000/bins (450 kilos)
abr-19;Pera;Packham's Triumph;Segunda;$/kilo;400;900;509;222;5.400;12*bins (450 kilos);100000/bins (450 kilos)
may-19;Pera;Packham's Triumph;Primera;$/kilo;490;1.000;646;;;;
may-19;Pera;Packham's Triumph;Segunda;$/kilo;400;800;500;;;;
jun-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.000;651;;;;
jun-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;486;;;;
jul-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.200;658;311;3150;7*bins (450 kilos);140000/bins (450 kilos)
jul-19;Pera;Packham's Triumph;Segunda;$/kilo;350;700;497;267;4500;10*bins (450 kilos);120000/bins (450 kilos)
ago-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.000;711;333;3600;8*bins (450 kilos);150000/bins (450 kilos)
ago-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;535;244;6300;14*bins (450 kilos);110000/bins (450 kilos)
sept-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.200;785;;;;
sept-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;582;;;;
oct-19;Pera;Packham's Triumph;Primera;$/kilo;600;1.300;891;511;3600;8*bins (450 kilos);230000/bins (450 kilos)
oct-19;Pera;Packham's Triumph;Segunda;$/kilo;500;1.000;659;467;4500;10*bins (450 kilos);210000/bins (450 kilos)
nov-19;Pera;Packham's Triumph;Primera;$/kilo;700;1.500;1.093;;;;
nov-19;Pera;Packham's Triumph;Segunda;$/kilo;600;1.000;851;;;;
dic-19;Pera;Packham's Triumph;Primera;$/kilo;600;1.800;1.183;778;3600;8*bins (450 kilos);350000/bins (450 kilos)
dic-19;Pera;Packham's Triumph;Segunda;$/kilo;500;1.500;875;689;2700;6*bins (450 kilos);310000/bins (450 kilos)
ene-20;Pera;Packham's Triumph;Primera;$/kilo;790;2.000;1.259;;;;
ene-20;Pera;Packham's Triumph;Segunda;$/kilo;690;1.100;884;;;;
feb-20;Pera;Bartlett de verano;Primera;$/kilo;500;1.000;743;;;;
feb-20;Pera;Bartlett de verano;Segunda;$/kilo;450;600;513;;;;
mar-20;Pera;Bartlett de verano;Primera;$/kilo;500;1.500;763;311;9000;20*bins (450 kilos);140000/bins (450 kilos)
mar-20;Pera;Bartlett de verano;Segunda;$/kilo;500;600;550;267;6750;15*bins (450 kilos);120000/bins (450 kilos)
mar-19;Plátano;Sin especificar;Maduro;$/kilo;450;800;673;;;;
mar-19;Plátano;Sin especificar;Primera;$/kilo;550;1.300;853;;;;
abr-19;Plátano;Sin especificar;Maduro;$/kilo;350;700;539;;;;
abr-19;Plátano;Sin especificar;Primera;$/kilo;400;1.000;710;;;;
may-19;Plátano;Sin especificar;Maduro;$/kilo;350;700;506;;;;
may-19;Plátano;Sin especificar;Primera;$/kilo;400;900;634;;;;
jun-19;Plátano;Sin especificar;Maduro;$/kilo;390;600;494;;;;
jun-19;Plátano;Sin especificar;Primera;$/kilo;500;900;648;;;;
jul-19;Plátano;Sin especificar;Maduro;$/kilo;300;800;491;;;;
jul-19;Plátano;Sin especificar;Primera;$/kilo;400;1.000;649;;;;
ago-19;Plátano;Sin especificar;Maduro;$/kilo;400;700;526;;;;
ago-19;Plátano;Sin especificar;Primera;$/kilo;500;1.000;696;;;;
sept-19;Plátano;Sin especificar;Maduro;$/kilo;450;700;543;;;;
sept-19;Plátano;Sin especificar;Primera;$/kilo;500;900;693;;;;
oct-19;Plátano;Sin especificar;Maduro;$/kilo;400;900;630;;;;
oct-19;Plátano;Sin especificar;Primera;$/kilo;500;1.300;823;;;;
nov-19;Plátano;Sin especificar;Maduro;$/kilo;900;1.200;1.015;;;;
nov-19;Plátano;Sin especificar;Primera;$/kilo;900;1.500;1.255;;;;
dic-19;Plátano;Sin especificar;Maduro;$/kilo;400;800;624;;;;
dic-19;Plátano;Sin especificar;Primera;$/kilo;500;1.500;782;;;;
ene-20;Plátano;Sin especificar;Maduro;$/kilo;400;900;631;;;;
ene-20;Plátano;Sin especificar;Primera;$/kilo;600;1.200;810;;;;
feb-20;Plátano;Sin especificar;Maduro;$/kilo;450;800;610;;;;
feb-20;Plátano;Sin especificar;Primera;$/kilo;590;1.200;771;;;;
mar-20;Plátano;Sin especificar;Maduro;$/kilo;500;1.000;747;;;;
mar-20;Plátano;Sin especificar;Primera;$/kilo;700;1.400;946;;;;
mar-19;Uva;Red Globe;Primera;$/kilo;500;1.000;789;388;42600;2130*caja 20 kilos;7775/caja 20 kilos
