"temperature","Date"
30.3281536585232,"17-04-2021"
28.5657112409826,"18-04-2021"
28.78758037664,"19-04-2021"
31.3696420949325,"20-04-2021"
30.3561846641824,"21-04-2021"
26.8380397544242,"22-04-2021"
19.165125162378,"23-04-2021"
17.8544706418738,"24-04-2021"
22.3556924409256,"25-04-2021"
21.0125861581531,"26-04-2021"
20.5129646109417,"27-04-2021"
24.2049058839632,"28-04-2021"
27.7275757613592,"29-04-2021"
23.1951758427569,"30-04-2021"
25.8093573106453,"01-05-2021"
24.4524175006896,"02-05-2021"
22.2261297624069,"03-05-2021"
23.9437391450256,"04-05-2021"
27.4015483878739,"05-05-2021"
29.8926863165107,"06-05-2021"
29.5153199665435,"07-05-2021"
27.1274984878907,"08-05-2021"
25.8992863079533,"09-05-2021"
18.9576237856899,"10-05-2021"
21.8880793207069,"11-05-2021"
15.5961191959679,"12-05-2021"
21.9019626258756,"13-05-2021"
23.6543290017173,"14-05-2021"
28.1480650030845,"15-05-2021"
26.4871082229074,"16-05-2021"
28.4498883687565,"17-05-2021"
20.3812776662642,"18-05-2021"
11.8253363712667,"19-05-2021"
14.0856843030336,"20-05-2021"
16.0987140987162,"21-05-2021"
19.7326511589391,"22-05-2021"
23.4336607944267,"23-05-2021"
27.1784176052362,"24-05-2021"
29.2464906533295,"25-05-2021"
22.399130775563,"26-05-2021"
12.6880145155219,"27-05-2021"
14.6827509436104,"28-05-2021"
15.4842593900696,"29-05-2021"
19.9389825354097,"30-05-2021"
20.8296547459741,"31-05-2021"
21.3480200781859,"01-06-2021"
13.5369019924477,"02-06-2021"
11.7153635796276,"03-06-2021"
15.8153005622677,"04-06-2021"
17.4460037890077,"05-06-2021"
18.1056234425306,"06-06-2021"
14.542897096253,"07-06-2021"
11.7251795221772,"08-06-2021"
18.8546988917748,"09-06-2021"
16.7704769239947,"10-06-2021"
12.6967717888486,"11-06-2021"
14.4657720432803,"12-06-2021"
19.8878546270728,"13-06-2021"
25.0741880148556,"14-06-2021"
14.7354228878138,"15-06-2021"
14.1998029538244,"16-06-2021"
11.9357176458649,"17-06-2021"
10.8879390389519,"18-06-2021"
14.0968063028902,"19-06-2021"
12.0849159669131,"20-06-2021"
14.4423099723342,"21-06-2021"
11.7947027708101,"22-06-2021"
13.1036829297314,"23-06-2021"
12.9803354986897,"24-06-2021"
10.8262576683797,"25-06-2021"
15.0758815561607,"26-06-2021"
16.353872859613,"27-06-2021"
15.489938485045,"28-06-2021"
11.5374535241118,"29-06-2021"
12.4318069844367,"30-06-2021"
