Mes_escrito;Mes;Anio;Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Febrero;2;2020;feb-20;Brócoli;Sin especificar;Segunda;$/unidad;500;1.300;847;575;51.500;;
Marzo;3;2020;mar-20;Brócoli;Sin especificar;Primera;$/unidad;800;2.500;1.317;935;109.600;;
Marzo;3;2020;mar-20;Brócoli;Sin especificar;Segunda;$/unidad;700;2.000;972;742;66.100;;
Marzo;3;2019;mar-19;Cebolla;Sin especificar;1a (cosecha);$/kilo;250;700;481;284;283.000;14150*caja 20 kilos;5681/caja 20 kilos
Marzo;3;2019;mar-19;Cebolla;Sin especificar;2a (cosecha);$/kilo;200;450;383;258;212.600;10630*caja 20 kilos;5150/caja 20 kilos
Abril;4;2019;abr-19;Cebolla;Sin especificar;1a (cosecha);$/kilo;450;500;475;263;258.000;12900*caja 20 kilos;5269/caja 20 kilos
Abril;4;2019;abr-19;Cebolla;Sin especificar;2a (cosecha);$/kilo;400;450;413;243;199.000;9950*caja 20 kilos;4866/caja 20 kilos
Mayo;5;2019;may-19;Cebolla;Sin especificar;1a (guarda);$/kilo;450;1.000;590;325;248.000;12400*caja 20 kilos;6497/caja 20 kilos
Mayo;5;2019;may-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;700;536;306;182.000;9100*caja 20 kilos;6114/caja 20 kilos
Junio;6;2019;jun-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;800;623;310;320.000;16000*caja 20 kilos;6208/caja 20 kilos
Junio;6;2019;jun-19;Cebolla;Sin especificar;2a (guarda);$/kilo;350;700;550;291;252.400;12620*caja 20 kilos;5829/caja 20 kilos
Julio;7;2019;jul-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;700;535;322;331.800;16590*caja 20 kilos;6438/caja 20 kilos
Julio;7;2019;jul-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;600;472;296;273.400;13670*caja 20 kilos;5929/caja 20 kilos
Agosto;8;2019;ago-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;800;643;404;431.600;21580*caja 20 kilos;8087/caja 20 kilos
Agosto;8;2019;ago-19;Cebolla;Sin especificar;2a (guarda);$/kilo;400;700;530;376;349.200;17460*caja 20 kilos;7522/caja 20 kilos
Septiembre;9;2019;sept-19;Cebolla;Sin especificar;1a (guarda);$/kilo;400;1.000;729;407;431.800;21590*caja 20 kilos;8143/caja 20 kilos
Septiembre;9;2019;sept-19;Cebolla;Sin especificar;2a (guarda);$/kilo;500;700;608;381;358.200;17910*caja 20 kilos;7620/caja 20 kilos
Octubre;10;2019;oct-19;Cebolla;Sin especificar;1a (guarda);$/kilo;500;1.000;795;349;401.600;20080*caja 20 kilos;6987/caja 20 kilos
Octubre;10;2019;oct-19;Cebolla;Sin especificar;2a (guarda);$/kilo;100;700;456;310;303.600;15180*caja 20 kilos;6199/caja 20 kilos
Noviembre;11;2019;nov-19;Cebolla;Sin especificar;1a (guarda);$/kilo;1.000;1.000;1.000;315;195.000;9750*caja 20 kilos;6305/caja 20 kilos
Diciembre;12;2019;dic-19;Cebolla;Sin especificar;1a nueva(o);$/kilo;400;600;500;176;441.000;24500*malla 18 kilos;3159/malla 18 kilos
Diciembre;12;2019;dic-19;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;500;450;148;324.000;18000*malla 18 kilos;2667/malla 18 kilos
Enero;1;2020;ene-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;400;450;433;182;54.000;3000*malla 18 kilos;3283/malla 18 kilos
Enero;1;2020;ene-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;450;408;155;39.600;2200*malla 18 kilos;2795/malla 18 kilos
Febrero;2;2020;feb-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;450;600;550;;;;
Febrero;2;2020;feb-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;500;470;;;;
Marzo;3;2020;mar-20;Cebolla;Sin especificar;1a (cosecha);$/kilo;390;450;420;336;255.000;12750*caja 20 kilos;6716/caja 20 kilos
Marzo;3;2020;mar-20;Cebolla;Sin especificar;2a (cosecha);$/kilo;100;390;245;315;180.800;9040*caja 20 kilos;6308/caja 20 kilos
Marzo;3;2019;mar-19;Choclo;Dulce o Americano;Primera;$/unidad;150;500;253;107;785.000;;
Marzo;3;2019;mar-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;400;210;87;45.000;;
Abril;4;2019;abr-19;Choclo;Dulce o Americano;Primera;$/unidad;150;400;244;98;984.000;;
Abril;4;2019;abr-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;200;169;67;245.000;;
Mayo;5;2019;may-19;Choclo;Dulce o Americano;Primera;$/unidad;100;450;239;139;292.000;;
Mayo;5;2019;may-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;200;166;100;80.000;;
Junio;6;2019;jun-19;Choclo;Dulce o Americano;Primera;$/unidad;150;500;319;;;;
Junio;6;2019;jun-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;300;210;;;;
Julio;7;2019;jul-19;Choclo;Dulce o Americano;Primera;$/unidad;230;800;425;;;;
Julio;7;2019;jul-19;Choclo;Dulce o Americano;Segunda;$/unidad;150;600;336;;;;
Agosto;8;2019;ago-19;Choclo;Dulce o Americano;Primera;$/unidad;400;800;602;;;;
Agosto;8;2019;ago-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;600;461;;;;
Septiembre;9;2019;sept-19;Choclo;Dulce o Americano;Primera;$/unidad;200;900;599;;;;
Septiembre;9;2019;sept-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;650;437;;;;
Octubre;10;2019;oct-19;Choclo;Dulce o Americano;Primera;$/unidad;400;800;633;;;;
Octubre;10;2019;oct-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;600;483;;;;
Noviembre;11;2019;nov-19;Choclo;Dulce o Americano;Primera;$/unidad;200;800;533;245;180.000;;
Noviembre;11;2019;nov-19;Choclo;Dulce o Americano;Segunda;$/unidad;200;500;406;200;60.000;;
Diciembre;12;2019;dic-19;Choclo;Dulce o Americano;Primera;$/unidad;200;600;344;158;257.000;;
Diciembre;12;2019;dic-19;Choclo;Dulce o Americano;Segunda;$/unidad;200;350;247;115;85.000;;
Enero;1;2020;ene-20;Choclo;Dulce o Americano;Primera;$/unidad;180;500;312;163;554.000;;
Enero;1;2020;ene-20;Choclo;Dulce o Americano;Segunda;$/unidad;120;350;220;114;99.000;;
Febrero;2;2020;feb-20;Choclo;Dulce o Americano;Primera;$/unidad;200;500;304;190;650.000;;
Febrero;2;2020;feb-20;Choclo;Dulce o Americano;Segunda;$/unidad;100;300;224;149;165.000;;
Marzo;3;2020;mar-20;Choclo;Dulce o Americano;Primera;$/unidad;200;450;306;163;575.500;;
Marzo;3;2020;mar-20;Choclo;Dulce o Americano;Segunda;$/unidad;200;250;218;126;160.500;;
