Mes_escrito;Mes;Anio;Mes/Año;Producto;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Mayo;5;2019;may-19;Poroto granado;Primera;$/kilo;650;1.500;948;726;121000;4840*saco 25 kilos;18157/saco 25 kilos
Diciembre;12;2019;dic-19;Poroto granado;Primera;$/kilo;1.000;2.500;1.706;1.004;220.250;8810*saco 25 kilos;25094/saco 25 kilos
Enero;1;2020;ene-20;Poroto granado;Primera;$/kilo;800;2.000;1.165;824;389750;15590*saco 25 kilos;20614/saco 25 kilos
Febrero;2;2020;feb-20;Poroto granado;Primera;$/kilo;800;2.000;1.255;977;254500;10180*saco 25 kilos;24430/saco 25 kilos
Marzo;3;2020;mar-20;Poroto granado;Primera;$/kilo;900;2.200;1.293;1017;373250;14930*saco 25 kilos;25417/saco 25 kilos
Marzo;3;2019;mar-19;Poroto verde;Primera;$/kilo;700;2.000;1.104;722;191500;7660*saco 25 kilos;10844/saco 25 kilos
Abril;4;2019;abr-19;Poroto verde;Primera;$/kilo;600;1.900;1.012;687;80000;3200*saco 25 kilos;17181/saco 25 kilos
Mayo;5;2019;may-19;Poroto verde;Primera;$/kilo;700;2.000;1.169;711;78500;;
Junio;6;2019;jun-19;Poroto verde;Primera;$/kilo;800;3.000;1.434;1.052;25.000;;
Julio;7;2019;jul-19;Poroto verde;Primera;$/kilo;900;3.000;1.393;1.052;25.000;;
Agosto;8;2019;ago-19;Poroto verde;Primera;$/kilo;1.000;2.400;1.500;1.052;25.000;;
Septiembre;9;2019;sept-19;Poroto verde;Primera;$/kilo;1.200;3.600;2.064;711;78500;;
Octubre;10;2019;oct-19;Poroto verde;Primera;$/kilo;1.500;3.000;2.147;711;78500;;
Noviembre;11;2019;nov-19;Poroto verde;Primera;$/kilo;1.000;3.000;1.803;711;78500;;
Diciembre;12;2019;dic-19;Poroto verde;Primera;$/kilo;800;2.000;1.370;711;78500;3140*saco 25 kilos;17768/saco 25 kilos
Enero;1;2020;ene-20;Poroto verde;Primera;$/kilo;700;2.500;1.268;645;44000;1760*saco 25 kilos;16125/saco 25 kilos
Febrero;2;2020;feb-20;Poroto verde;Primera;$/kilo;900;2.000;1.272;951;135000;5400*saco 25 kilos;23774/saco 25 kilos
Marzo;3;2020;mar-20;Poroto verde;Primera;$/kilo;1.000;2.500;1.416;1.052;25.000;1000*saco 25 kilos;26300/saco 25 kilos
Marzo;3;2019;mar-19;Repollo;Primera;$/unidad;800;2.000;1.397;728;351.700;;
Abril;4;2019;abr-19;Repollo;Primera;$/unidad;900;1.600;1.237;672;248.000;;
Mayo;5;2019;may-19;Repollo;Primera;$/unidad;700;1.600;1.101;522;285.470;;
Junio;6;2019;jun-19;Repollo;Primera;$/unidad;800;1.600;1.117;552;248.900;;
Julio;7;2019;jul-19;Repollo;Primera;$/unidad;700;1.600;1.163;690;86.580;;
Agosto;8;2019;ago-19;Repollo;Primera;$/unidad;700;1.600;1.205;602;129.620;;
Septiembre;9;2019;sept-19;Repollo;Primera;$/unidad;600;1.600;1.047;567;162.350;;
Octubre;10;2019;oct-19;Repollo;Primera;$/unidad;700;2.000;1.093;517;351.530;;
Noviembre;11;2019;nov-19;Repollo;Primera;$/unidad;600;1.500;1.028;485;231.670;;
Diciembre;12;2019;dic-19;Repollo;Primera;$/unidad;500;1.500;993;452;236.890;;
Enero;1;2020;ene-20;Repollo;Primera;$/unidad;700;2.400;1.253;591;95.470;;
Febrero;2;2020;feb-20;Repollo;Primera;$/unidad;800;2.400;1.568;909;31.620;;
Marzo;3;2020;mar-20;Repollo;Primera;$/unidad;1.400;3.200;2.224;1.039;64.100;;
Marzo;3;2019;mar-19;Sandia;Primera;$/unidad;2.000;3.000;2.342;1.617;30.190;;
Diciembre;12;2019;dic-19;Sandia;Primera;$/unidad;300;5.000;2.891;2.546;10.800;;
Enero;1;2020;ene-20;Sandia;Primera;$/unidad;1.500;4.500;2.837;2.024;99.400;;
Febrero;2;2020;feb-20;Sandia;Primera;$/unidad;1.500;3.500;2.535;1.535;26.690;;
Marzo;3;2020;mar-20;Sandia;Primera;$/unidad;2.000;3.200;2.547;1.458;6.700;;
Marzo;3;2019;mar-19;Tomate;Primera;$/kilo;500;1.400;780;530;96.120;5340*bandeja 18 kilos;9554/bandeja 18 kilos
Abril;4;2019;abr-19;Tomate;Primera;$/kilo;600;1.700;889;489;94.680;5260*bandeja 18 kilos;8810/bandeja 18 kilos
Mayo;5;2019;may-19;Tomate;Primera;$/kilo;550;1.300;793;530;96.120;;
Junio;6;2019;jun-19;Tomate;Primera;$/kilo;500;1.500;829;489;94.680;;
Julio;7;2019;jul-19;Tomate;Primera;$/kilo;400;1.200;647;285;378540;;
Agosto;8;2019;ago-19;Tomate;Primera;$/kilo;400;1.000;657;285;378540;;
Septiembre;9;2019;sept-19;Tomate;Primera;$/kilo;500;1.200;766;346;28260;;
Octubre;10;2019;oct-19;Tomate;Primera;$/kilo;600;1.500;930;489;94.680;;
Noviembre;11;2019;nov-19;Tomate;Primera;$/kilo;500;1.300;806;489;94.680;;
Diciembre;12;2019;dic-19;Tomate;Primera;$/kilo;400;1.200;777;346;28260;1570*bandeja 18 kilos;6229/bandeja 18 kilos
Enero;1;2020;ene-20;Tomate;Primera;$/kilo;450;1.300;720;285;378540;21030*bandeja 18 kilos;5123/bandeja 18 kilos
Febrero;2;2020;feb-20;Tomate;Primera;$/kilo;500;1.200;721;391;433620;24090*bandeja 18 kilos;7040/bandeja 18 kilos
Marzo;3;2020;mar-20;Tomate;Primera;$/kilo;500;1.400;770;360;603900;33550*bandeja 18 kilos;6485/bandeja 18 kilos
Marzo;3;2019;mar-19;Zanahoria;Primera;$/kilo;400;800;571;243;238400;11920*saco 20 kilos;4850/saco 20 kilos
Abril;4;2019;abr-19;Zanahoria;Primera;$/kilo;450;800;561;243;238400;;
Mayo;5;2019;may-19;Zanahoria;Primera;$/kilo;450;800;551;255;186000;9300*saco 20 kilos;5090/saco 20 kilos
Junio;6;2019;jun-19;Zanahoria;Primera;$/kilo;400;800;558;259;522200;26110*saco 20 kilos;5185/saco 20 kilos
Julio;7;2019;jul-19;Zanahoria;Primera;$/kilo;400;800;569;272;425000;1250*saco 20 kilos;5436/saco 20 kilos
Agosto;8;2019;ago-19;Zanahoria;Primera;$/kilo;400;800;568;255;321800;16090*saco 20 kilos;5103/saco 20 kilos
Septiembre;9;2019;sept-19;Zanahoria;Primera;$/kilo;500;1.000;617;300;316400;15820*saco 20 kilos;6000/saco 20 kilos
Octubre;10;2019;oct-19;Zanahoria;Primera;$/kilo;450;1.500;697;333;384000;19200*saco 20 kilos;6654/saco 20 kilos
Noviembre;11;2019;nov-19;Zanahoria;Primera;$/kilo;400;1.000;686;360;371000;18550*saco 20 kilos;7194/saco 20 kilos
Diciembre;12;2019;dic-19;Zanahoria;Primera;$/kilo;400;1.000;595;296;363600;18180*saco 20 kilos;5911/saco 20 kilos
Enero;1;2020;ene-20;Zanahoria;Primera;$/kilo;400;1.200;644;316;161600;8080*saco 20 kilos;6310/saco 20 kilos
Febrero;2;2020;feb-20;Zanahoria;Primera;$/kilo;500;1.000;609;300;18600;930*saco 20 kilos;6000/saco 20 kilos
Marzo;3;2020;mar-20;Zanahoria;Primera;$/kilo;350;1.200;682;269;28800;1440*saco 20 kilos;5382/saco 20 kilos
Marzo;3;2019;mar-19;Zapallo italiano;Primera;$/unidad;100;700;275;100;513100;7330*caja 70 unidades;6995/caja 70 unidades
Abril;4;2019;abr-19;Zapallo italiano;Primera;$/unidad;100;400;205;75;383250;5475*caja 70 unidades;5217/caja 70 unidades
Mayo;5;2019;may-19;Zapallo italiano;Primera;$/unidad;150;500;243;114;217700;3110*caja 70 unidades;7950/caja 70 unidades
Junio;6;2019;jun-19;Zapallo italiano;Primera;$/unidad;150;600;335;114;217700;;
Julio;7;2019;jul-19;Zapallo italiano;Primera;$/unidad;150;600;303;114;217700;;
Agosto;8;2019;ago-19;Zapallo italiano;Primera;$/unidad;250;600;432;114;217700;;
Septiembre;9;2019;sept-19;Zapallo italiano;Primera;$/unidad;250;600;426;114;217700;;
Octubre;10;2019;oct-19;Zapallo italiano;Primera;$/unidad;200;700;401;114;217700;;
Noviembre;11;2019;nov-19;Zapallo italiano;Primera;$/unidad;100;600;204;95;28700;;
Diciembre;12;2019;dic-19;Zapallo italiano;Primera;$/unidad;100;400;200;95;28700;410*caja 70 unidades;6634/caja 70 unidades
Enero;1;2020;ene-20;Zapallo italiano;Primera;$/unidad;100;600;253;100;179200;2560*caja 70 unidades;6991/caja 70 unidades
Febrero;2;2020;feb-20;Zapallo italiano;Primera;$/unidad;150;500;261;109;336700;4810*caja 70 unidades;7657/caja 70 unidades
Marzo;3;2020;mar-20;Zapallo italiano;Primera;$/unidad;150;500;267;112;359100;5130*caja 70 unidades;7850/caja 70 unidades
Marzo;3;2019;mar-19;Frutilla;Primera;$/kilo;750;1.500;1.084;759;65240;9320*bandeja 7 kilos;5319/bandeja 7 kilos
Abril;4;2019;abr-19;Frutilla;Primera;$/kilo;790;1.600;1.100;817;51240;7320*bandeja 7 kilos;5717/bandeja 7 kilos
Mayo;5;2019;may-19;Frutilla;Primera;$/kilo;800;1.600;1.168;943;39690;5670*bandeja 7 kilos;6601/bandeja 7 kilos
Octubre;10;2019;oct-19;Frutilla;Primera;$/kilo;700;2.000;1.160;849;183960;26280*bandeja 7 kilos;5944/bandeja 7 kilos
Noviembre;11;2019;nov-19;Frutilla;Primera;$/kilo;900;1.800;1.214;843;126840;18120*bandeja 7 kilos;5901/bandeja 7 kilos
Diciembre;12;2019;dic-19;Frutilla;Primera;$/kilo;800;2.000;1.259;929;134330;19190*bandeja 7 kilos;6502/bandeja 7 kilos
Enero;1;2020;ene-20;Frutilla;Primera;$/kilo;900;2.000;1.336;924;109060;15580*bandeja 7 kilos;6468/bandeja 7 kilos
Febrero;2;2020;feb-20;Frutilla;Primera;$/kilo;1.000;1.900;1.356;1.165;75.950;10850*bandeja 7 kilos;8161/bandeja 7 kilos
